               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080217,             0.02374,            0.010402,             0.80072,             0.73724,             0.81174,             0.40322,             0.04439,            0.010357,           0.0022489,            0.070078,           0.0033247,           0.0033247
                   1,            0.056728,            0.018354,           0.0023619,             0.78819,             0.84216,             0.86544,             0.47212,            0.037432,           0.0083908,           0.0018472,            0.039418,           0.0059989,           0.0059989
                   2,            0.049828,            0.016159,           0.0018939,             0.90509,             0.86934,              0.9204,             0.50816,            0.035478,           0.0074817,           0.0011165,           0.0080992,           0.0080131,           0.0080131
                   3,            0.044614,            0.014785,           0.0014216,              0.9314,             0.90646,             0.93643,             0.55704,            0.030462,           0.0069139,           0.0010918,             0.00703,             0.00703,             0.00703
                   4,            0.041119,            0.014092,           0.0010724,             0.92737,             0.89127,             0.93393,             0.60376,            0.028094,            0.006766,           0.0012679,             0.00703,             0.00703,             0.00703
                   5,            0.038481,            0.013593,          0.00079116,             0.95013,             0.88134,             0.93448,             0.59383,            0.028002,           0.0067043,          0.00043966,             0.00604,             0.00604,             0.00604
                   6,            0.035609,            0.012679,           0.0006003,             0.95406,             0.90701,             0.94449,              0.6065,            0.027097,           0.0062654,          0.00037828,             0.00505,             0.00505,             0.00505
                   7,            0.033899,            0.012561,           0.0005093,             0.94779,             0.91757,             0.94835,             0.62311,            0.026026,             0.00628,           0.0002264,             0.00406,             0.00406,             0.00406
                   8,            0.032296,            0.012299,          0.00039087,             0.95495,             0.91035,              0.9496,             0.64256,            0.024523,           0.0060089,          0.00018054,             0.00307,             0.00307,             0.00307
                   9,            0.031162,             0.01204,          0.00028436,             0.95953,             0.91082,               0.948,             0.65859,            0.023786,           0.0059023,          0.00012191,             0.00208,             0.00208,             0.00208
